"resource","app","nodes","cores","task_id","metric_type","metric","value","units"
"UBHPC_32core","hpcc",1,32,3851059,"parameter","Input:DGEMM Problem Size",2040,NA
"UBHPC_32core","hpcc",1,32,3851059,"parameter","Input:High Performance LINPACK Grid Cols",8,NA
"UBHPC_32core","hpcc",1,32,3851059,"parameter","Input:High Performance LINPACK Grid Rows",4,NA
"UBHPC_32core","hpcc",1,32,3851059,"parameter","Input:High Performance LINPACK Problem Size",20000,NA
"UBHPC_32core","hpcc",1,32,3851059,"parameter","Input:MPI Ranks",32,NA
"UBHPC_32core","hpcc",1,32,3851059,"parameter","Input:MPIRandom Problem Size",256,"MWord"
"UBHPC_32core","hpcc",1,32,3851059,"parameter","Input:OpenMP Threads",0,NA
"UBHPC_32core","hpcc",1,32,3851059,"parameter","Input:PTRANS Problem Size",10000,NA
"UBHPC_32core","hpcc",1,32,3851059,"parameter","Input:STREAM Array Size",4166666,"MWord"
"UBHPC_32core","hpcc",1,32,3851059,"parameter","RunEnv:CPU Speed",2035.144,"MHz"
"UBHPC_32core","hpcc",1,32,3851059,"parameter","job_id",10600415,NA
"UBHPC_32core","hpcc",1,32,3851059,"statistic","App kernel executable exists",1,NA
"UBHPC_32core","hpcc",1,32,3851059,"statistic","App kernel input exists",1,NA
"UBHPC_32core","hpcc",1,32,3851059,"statistic","Average Double-Precision General Matrix Multiplication (DGEMM) Floating-Point Performance",48563.4,"MFLOP per Second"
"UBHPC_32core","hpcc",1,32,3851059,"statistic","Average STREAM 'Add' Memory Bandwidth",4684.11392,"MByte per Second"
"UBHPC_32core","hpcc",1,32,3851059,"statistic","Average STREAM 'Copy' Memory Bandwidth",5375.11936,"MByte per Second"
"UBHPC_32core","hpcc",1,32,3851059,"statistic","Average STREAM 'Scale' Memory Bandwidth",4274.176,"MByte per Second"
"UBHPC_32core","hpcc",1,32,3851059,"statistic","Average STREAM 'Triad' Memory Bandwidth",4736.41984,"MByte per Second"
"UBHPC_32core","hpcc",1,32,3851059,"statistic","Fast Fourier Transform (FFTW) Floating-Point Performance",51256.3,"MFLOP per Second"
"UBHPC_32core","hpcc",1,32,3851059,"statistic","High Performance LINPACK Floating-Point Performance",1009970,"MFLOP per Second"
