"resource","config","cores","id","metric","value"
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,2,"mashing",518.944753738
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,8,"mashing",500.764789551
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,3,"mashing",501.234975284
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,1,"mashing",507.645999814
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,5,"mashing",508.815787292
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,7,"mashing",512.436181345
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,6,"mashing",498.834964437
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,9,"mashing",500.945852109
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,10,"mashing",532.952072853
"Ookami-Fujitsu","v1812 Fujitsu Patches",48,4,"mashing",500.080999721
"Ookami-OSS","v2206",48,2,"mashing",977.752208548
"Ookami-OSS","v2206",48,8,"mashing",860.522472581
"Ookami-OSS","v2206",48,3,"mashing",932.991699769
"Ookami-OSS","v2206",48,5,"mashing",827.731316935
"Ookami-OSS","v2206",48,7,"mashing",920.475934231
"Ookami-OSS","v2206",48,6,"mashing",935.760747836
"Ookami-OSS","v2206",48,9,"mashing",1026.767056198
"Ookami-OSS","v2206",48,10,"mashing",841.916238474
"Ookami-OSS","v2206",48,4,"mashing",850.326955225
"Amazon-Graviton3-48","v2206",48,8,"mashing",130.495792296
"Amazon-Graviton3-48","v2206",48,1,"mashing",139.79816786
"Amazon-Graviton3-48","v2206",48,5,"mashing",141.19830016
"Amazon-Graviton3-48","v2206",48,7,"mashing",122.814873662
"Amazon-Graviton3-48","v2206",48,6,"mashing",133.307265466
"Amazon-Graviton3-48","v2206",48,9,"mashing",127.156042914
"Amazon-Graviton3-48","v2206",48,10,"mashing",148.056529882
"Amazon-Graviton3-48","v2206",48,4,"mashing",126.209091044
"Amazon-Graviton2-48","v2206",48,2,"mashing",233.297775583
"Amazon-Graviton2-48","v2206",48,8,"mashing",199.409167088
"Amazon-Graviton2-48","v2206",48,3,"mashing",189.636232668
"Amazon-Graviton2-48","v2206",48,1,"mashing",221.623906621
"Amazon-Graviton2-48","v2206",48,5,"mashing",220.157095641
"Amazon-Graviton2-48","v2206",48,7,"mashing",207.494022388
"Amazon-Graviton2-48","v2206",48,6,"mashing",201.811795193
"Amazon-Graviton2-48","v2206",48,9,"mashing",224.130385224
"Amazon-Graviton2-48","v2206",48,10,"mashing",206.481100194
"Amazon-Graviton2-48","v2206",48,4,"mashing",221.201029468
"Google-Ampere-Altra","v2206",48,2,"mashing",183.279654637
"Google-Ampere-Altra","v2206",48,8,"mashing",194.427361938
"Google-Ampere-Altra","v2206",48,3,"mashing",202.05417998
