t,"Power, W"
2022-12-12 20:14:30,368
2022-12-12 20:14:45,368
2022-12-12 20:15:00,369
2022-12-12 20:15:15,369
2022-12-12 20:15:30,369
2022-12-12 20:15:45,369
2022-12-12 20:16:00,369
2022-12-12 20:16:15,369
2022-12-12 20:16:30,369
2022-12-12 20:16:45,369
2022-12-12 20:17:00,508
2022-12-12 20:17:15,508
2022-12-12 20:17:30,508
2022-12-12 20:17:45,508
2022-12-12 20:18:00,508
2022-12-12 20:18:15,508
2022-12-12 20:18:30,508
2022-12-12 20:18:45,508
2022-12-12 20:19:00,630
2022-12-12 20:19:15,630
2022-12-12 20:19:30,630
2022-12-12 20:19:45,630
2022-12-12 20:20:00,630
2022-12-12 20:20:15,630
2022-12-12 20:20:30,630
2022-12-12 20:20:45,630
2022-12-12 20:21:00,633
2022-12-12 20:21:15,633
2022-12-12 20:21:30,633
2022-12-12 20:21:45,633
2022-12-12 20:22:00,633
2022-12-12 20:22:15,633
2022-12-12 20:22:30,633
2022-12-12 20:22:45,633
2022-12-12 20:23:00,388
2022-12-12 20:23:15,388
2022-12-12 20:23:30,388
2022-12-12 20:23:45,388

