"","cpu","cores","Wall Clock Time (Mean)","Wall Clock Time (St.Dev.)","Power","jobs_per_kwh (Mean)","jobs_per_kwh (St.Dev.)","n","app_version","formal_name","resource","release_date","nominal_freq"
"1","ARM Futjitsu A64FX, SVE 512b (SBU-Ookami, GCC)",48,"115.7","± 17.7","112 ± 7","4.7","± 0.5",10,"unknown","Ookami-OSS","Ookami-OSS","2019?","1.8"
"2","ARM Amazon Graviton 2, Neoverse N1 (AWS)",48,"23.6","± 1.1",NA,"NA","± NA",12,"unknown","Amazon-Graviton2-48","amazon-graviton2-48","Nov-2019","2.6"
"3","ARM Amazon Graviton 3, Neoverse V1, SVE 256b (AWS)",48,"17.0","± 1.2",NA,"NA","± NA",11,"unknown","Amazon-Graviton3-48","amazon-graviton3-48","Nov-2021","2.5"
"4","ARM Amazon Graviton 3, Neoverse V1, SVE 256b (AWS)",64,"13.2","± 0.7",NA,"NA","± NA",20,"unknown","Amazon-Graviton3-64","amazon-graviton3-64","Nov-2021","2.5"
"5","ARM Ampere Altra, Neoverse N1 (Azure)",48,"21.0","± 1.0",NA,"NA","± NA",11,"unknown","Google-T2A-48","google-tau-t2a-48","March-2021","Up to 3.0"
"6","ARM Ampere Altra, Neoverse N1 (Azure)",64,"15.9","± 0.8","270 ± 0","14.0","± 0.7",20,"unknown","Azure-Altra-64","azure-altra-64","March-2021","Up to 3.0"
"7","x86 AMD EPYC 7742 Zen2(Rome), AVX2 (PSC-Bridges-2)",128,"7.1","± 0.4",NA,"NA","± NA",20,"unknown","PSC Bridges-2","Bridges-2","Mid-2019","2.25"
"8","x86 AMD EPYC 7742 Zen2(Rome), AVX2 (SDSC Expanse)",128,"6.6","± 0.4",NA,"NA","± NA",20,"unknown","SDSC Expanse","Expanse","Mid-2019","2.25"
"9","x86 AMD EPYC 7763 Zen3(Milan), AVX2 (Purdue Anvil)",128,"6.9","± 0.3",NA,"NA","± NA",20,"unknown","Purdue Anvil","Anvil","March-2021","2.45"
"10","x86 Intel Xeon Phi 7250, KNL, AVX512 (TACC-Stampede 2)",68,"14.7","± 0.3",NA,"NA","± NA",20,"Branch:stable Revision:1616af64765d","TACC-Stampede 2 KNL","stampede2-knl","Q2 2016","1.4"
"11","x86 Intel Xeon Plat. 8160, Skylake-X, AVX512 (TACC-Stampede 2)",48,"4.2","± 0.1",NA,"NA","± NA",20,"unknown","TACC-Stampede 2 SKX","stampede2-skx","Q3 2017","2.1"
"12","x86 Intel Xeon Gold 6130,  Skylake-X, AVX512 (UB-HPC)",32,"4.8","± 0.3","338 ± 31","37.1","± 3.9",50,"Branch:stable Revision:1616af64765d+","UBHPC_32core_SKX","UBHPC_32core","Q3 2017","2.1/3.7"
"13","x86 Intel Xeon Gold 6130,  Skylake-X, AVX512 (UB-HPC)",32,"25.8","± 0.9","379 ± 26","6.2","± 0.4",11,"unknown","UBHPC_32core_SKX","UBHPC_32core","Q3 2017","2.1/3.7"
"14","x86 Intel Xeon Gold 6330,  Ice Lake, AVX512 (UB-HPC)",56,"15.5","± 0.6","559 ± 34","6.9","± 0.4",11,"unknown","UBHPC_56core","UBHPC_56core","Q2 2021","2.0"
