"","cpu","cores","Wall Clock Time (Mean)","Wall Clock Time (St.Dev.)","Power","jobs_per_kwh (Mean)","jobs_per_kwh (St.Dev.)","n","app_version","formal_name","resource","release_date","nominal_freq"
"1","ARM Futjitsu A64FX, SVE 512b (SBU-Ookami, GCC)",48,"62.7","± 0.7","110 ± 0","522","± 6",60,"7.0.2","Ookami-OSS","Ookami-OSS","2019?","1.8"
"2","ARM Amazon Graviton 2, Neoverse N1 (AWS)",48,"61.1","± 0.9",NA,"NA","± NA",12,"7.0.2","Amazon-Graviton2-48","amazon-graviton2-48","Nov-2019","2.6"
"3","ARM Amazon Graviton 3, Neoverse V1, SVE 256b (AWS)",48,"36.6","± 0.7",NA,"NA","± NA",11,"7.0.2","Amazon-Graviton3-48","amazon-graviton3-48","Nov-2021","2.5"
"4","ARM Amazon Graviton 3, Neoverse V1, SVE 256b (AWS)",64,"29.8","± 0.4",NA,"NA","± NA",20,"7.0.2","Amazon-Graviton3-64","amazon-graviton3-64","Nov-2021","2.5"
"5","ARM Ampere Altra, Neoverse N1 (Azure)",48,"56.5","± 2.7",NA,"NA","± NA",11,"7.0.2","Google-T2A-48","google-tau-t2a-48","March-2021","Up to 3.0"
"6","ARM Ampere Altra, Neoverse N1 (Azure)",64,"42.8","± 0.5","270 ± 0","312","± 4",20,"7.0.2","Azure-Altra-64","azure-altra-64","March-2021","Up to 3.0"
"7","x86 AMD EPYC 7742 Zen2(Rome), AVX2 (PSC-Bridges-2)",128,"32.4","± 4.4",NA,"NA","± NA",20,"7.0.2","PSC Bridges-2","Bridges-2","Mid-2019","2.25"
"8","x86 AMD EPYC 7742 Zen2(Rome), AVX2 (SDSC Expanse)",128,"28.6","± 7.8",NA,"NA","± NA",20,"7.0.0","SDSC Expanse","Expanse","Mid-2019","2.25"
"9","x86 AMD EPYC 7763 Zen3(Milan), AVX2 (Purdue Anvil)",128,"26.7","± 0.3",NA,"NA","± NA",20,"7.0.2","Purdue Anvil","Anvil","March-2021","2.45"
"10","x86 Intel Xeon Phi 7250, KNL, AVX512 (TACC-Stampede 2)",68,"262.1","± 22.1",NA,"NA","± NA",20,"6.8","TACC-Stampede 2 KNL","stampede2-knl","Q2 2016","1.4"
"11","x86 Intel Xeon Plat. 8160, Skylake-X, AVX512 (TACC-Stampede 2)",48,"50.3","± 0.3",NA,"NA","± NA",12,"6.8","TACC-Stampede 2 SKX","stampede2-skx","Q3 2017","2.1"
"12","x86 Intel Xeon Plat. 8160, Skylake-X, AVX512 (TACC-Stampede 2)",48,"31.2","± 0.2",NA,"NA","± NA",8,"7.0.2","TACC-Stampede 2 SKX","stampede2-skx","Q3 2017","2.1"
"13","x86 Intel Xeon Plat. 8380, Ice Lake, AVX512 (TACC-Stampede 2)",80,"19.2","± 1.2",NA,"NA","± NA",11,"7.0.2","TACC-Stampede 2 ICX","stampede2-icx","Q2 2021","2.3"
"14","x86 Intel Xeon Gold 6130,  Skylake-X, AVX512 (UB-HPC)",32,"90.0","± 1.6","332 ± 50","124","± 25",27,"7.0.2","UBHPC_32core_SKX","UBHPC_32core","Q3 2017","2.1/3.7"
"15","x86 Intel Xeon Gold 6330,  Ice Lake, AVX512 (UB-HPC)",56,"46.9","± 0.6","376 ± 2","204","± 3",11,"7.0.2","UBHPC_56core","UBHPC_56core","Q2 2021","2.0"
